id,bookId,genreId
1,1,2
2,1,3
3,2,3
4,3,3
5,3,4
6,4,5
7,4,6
8,5,4
9,5,7
10,6,5
11,6,6
12,7,5
13,7,8
14,8,3
15,8,4
16,9,4
17,9,9
18,10,4
19,10,10
20,11,6
21,11,11
22,12,1
23,12,2
24,13,7
25,13,10
