id,displayName,searchUrl,isOwned
2,2018 Honda Civic Si,NULL,1
1,2014 Toyota Prius,NULL,1
3,Mazda Miata ND,https://www.cars.com/shopping/results/?body_style_slugs[]=convertible&dealer_id=&list_price_max=&list_price_min=10000&makes[]=mazda&maximum_distance=all&mileage_max=&models[]=mazda-mx_5_miata&page_size=20&sort=list_price&stock_type=used&transmission_slugs[]=manual&trims[]=mazda-mx_5_miata-club&year_max=&year_min=2016&zip=80206,0
4,2023 Honda Civic Type R,NULL,1
